0	4.656875	0.00003815	0	Write	6194591	32
1	4.656875	0.00003815	0	Write	6164511	8
2	4.656875	0.00003815	0	Write	6164495	8
3	5.000625	0.00007629	0	Write	6164519	8
4	5.000625	0.00007629	0	Write	4049351	8
5	5.000625	0.00007629	0	Write	23616768	8
6	5.000625	0.00007629	0	Read	23616759	1
7	5.01625	0.00007629	0	Write	23616759	1
8	5.01625	0.00007629	0	Write	6194623	8
9	5.01625	0.00007629	0	Write	6164511	8
10	5.750625	0.00003815	0	Write	5846319	7
11	9.656875	0.00003815	0	Write	6194631	16
12	9.656875	0.00003815	0	Write	6164519	8
13	9.656875	0.00003815	0	Write	6164503	8
14	10.031875	0.00114441	0	Write	10019919	1
15	10.031875	0.00114441	0	Write	6194647	8
16	10.031875	0.00114441	0	Write	6164511	8
17	10.0475	0.00114441	0	Write	10019920	2
18	10.0475	0.00114441	0	Write	10019922	5
19	10.0475	0.00114441	0	Write	11404511	3
20	10.0475	0.00114441	0	Write	11404514	5
21	10.0475	0.00114441	0	Write	11408439	3
22	10.0475	0.00114441	0	Write	11408442	5
23	10.0475	0.00114441	0	Write	11410783	3
24	10.0475	0.00114441	0	Write	11410786	5
25	10.0475	0.00114441	0	Write	11411775	3
26	10.0475	0.00114441	0	Write	11411778	5
27	10.0475	0.00114441	0	Write	11413183	3
28	10.0475	0.00114441	0	Write	11413186	5
29	10.0475	0.00114441	0	Write	11413911	3
30	10.0475	0.00114441	0	Write	6164519	8
31	10.094375	0.00114441	0	Write	10019919	1
32	10.094375	0.00114441	0	Write	6194655	8
33	10.094375	0.00114441	0	Write	6164511	8
34	10.11	0.00114441	0	Write	6164519	8
35	10.11	0.00114441	0	Write	11853903	32
36	10.11	0.00114441	0	Write	6164511	8
37	10.125625	0.00114441	0	Write	12008343	32
38	10.14125	0.00115395	0	Write	11853903	32
39	10.14125	0.00115395	0	Write	12008375	32
40	10.14125	0.00115395	0	Write	12008511	8
41	10.14125	0.00115395	0	Write	13914055	8
42	10.14125	0.00115395	0	Write	15519471	8
43	10.14125	0.00115395	0	Write	6164519	8
44	10.1725	0.00115395	0	Write	11853903	8
45	10.1725	0.00115395	0	Write	6164511	8
46	10.20375	0.00115395	0	Write	10293791	1
47	10.20375	0.00115395	0	Write	6164519	8
